dataset_id,item,n_cats_meta,n_distinct,range_min,range_max,status
0037,happy,101,101,0,100,ok
0037,enthusiastic,101,101,0,100,ok
0037,nervous,101,100,0,100,ok
0037,tired,101,101,0,100,ok
0037,hurt_health,101,101,0,100,ok
0037,pos_expect,101,101,0,100,ok
0037,ashamed_smoking,101,101,0,100,ok
0037,agency,101,99,0,100,ok
0037,could_quit,101,101,0,100,ok
0037,delay_gratification,101,101,0,100,ok
0037,health_belief,101,97,0,100,ok
0037,comfortable,101,101,0,100,ok
0037,frustrated,101,101,0,100,ok
0037,pos_social,101,101,0,100,ok
0039,depressed,11,11,0,10,ok
0039,anhedonia,11,11,0,10,ok
0039,loneliness,11,11,0,10,ok
0039,left_out,11,11,0,10,ok
0039,social_interaction,11,11,0,10,ok
0039,vulnerability,11,11,0,10,ok
0039,perceived_responsiveness,11,11,0,10,ok
0039,covid_anxiety,11,11,0,10,ok
0040,nervous,4,4,0,3,ok
0040,worrying,4,4,0,3,ok
0040,depressed,4,4,0,3,ok
0040,anhedonia,4,4,0,3,ok
0040,social_level,5,5,1,5,ok
0040,perception_worry,5,5,1,5,ok
0040,appearance_pleased,5,5,1,5,ok
0040,feel_smart,5,5,1,5,ok
0040,feel_good,5,5,1,5,ok
0040,stressed,5,5,1,5,ok
0040,covid_concern_general,7,7,1,7,ok
0040,covid_daily_activities,7,7,1,7,ok
0040,covid_behavior_change,7,7,1,7,ok
0040,covid_concern_self,7,7,1,7,ok
0040,covid_concern_classmates,7,7,1,7,ok
0040,covid_concern_family,7,7,1,7,ok
0040,covid_concern_supplies,7,7,1,7,ok
0040,covid_felt_support,7,7,1,7,ok
0040,covid_support_others,7,7,1,7,ok
0040,social_media_use,7,7,1,7,ok
0041,dominance,8,308,NA,NA,n_distinct_mismatch
0041,affiliation,8,324,NA,NA,n_distinct_mismatch
0041,pa,5,37,NA,NA,n_distinct_mismatch
0041,na,5,35,NA,NA,n_distinct_mismatch
0041,stressed,4,22,0,21,n_distinct_mismatch
0041,functioning,5,5,0,4,ok
0042,happy,101,101,0,100,ok
0042,ashamed,101,101,0,100,ok
0042,proud,101,101,0,100,ok
0042,nervous,101,101,0,100,ok
0042,confident,101,101,0,100,ok
0042,hostile,101,101,0,100,ok
0042,sad,101,101,0,100,ok
0042,excited,101,101,0,100,ok
