id	date	day	beep	positive_affect	negative_affect	urgency	er_no_try	er_accept	er_advice	er_reappraisal	er_problem_solving	er_introspection	er_exp_suppress	er_emo_suppress	er_distraction	effectiveness	social_context	er_number_strategies	alone
3060	2016-11-07T12:48:31.875790	8	NA	69	20	85	0	0	0	0	1	1	0	0	0	78	Classmate/coworker	2	0
3060	2016-11-07T15:22:19.929869	8	NA	83	8	67	0	0	0	0	0	1	0	0	0	74	Classmate/coworker	1	0
3060	2016-11-08T10:47:35.944717	9	NA	84	15	76	0	0	0	0	1	0	0	0	0	76	Classmate/coworker	1	0
3060	2016-11-08T11:03:13.742309	9	NA	91	17	77	0	0	0	1	0	0	0	0	0	76	Classmate/coworker	1	0
3060	2016-11-08T17:16:05.633902	9	NA	77	11	73	0	1	0	0	0	1	0	0	0	85	Classmate/coworker	2	0
3060	2016-11-08T20:18:19.972891	9	NA	83	17	76	0	0	0	0	1	0	0	0	0	86	Romantic partner/close friend	1	0
3060	2016-11-09T10:12:44.618375	10	NA	23	74	97	0	1	0	0	0	0	1	1	1	43	Classmate/coworker	4	0
3060	2016-11-09T11:54:52.655045	10	NA	11	80	86	0	0	0	0	0	0	0	1	0	60	Romantic partner/close friend	1	0
3060	2016-11-09T16:02:36.057163	10	NA	38	28	97	0	0	0	0	0	0	0	0	1	80	Classmate/coworker	1	0
3060	2016-11-09T17:27:03.109695	10	NA	30	40	86	0	0	0	1	0	0	0	0	0	84	Romantic partner/close friend	1	0
3060	2016-11-09T19:26:49.302201	10	NA	28	62	94	0	1	0	1	0	0	0	0	0	61	Classmate/coworker	2	0
3060	2016-11-10T14:07:00.179550	11	NA	69	43	85	0	0	0	1	0	0	0	0	0	82	I am alone	1	1
3060	2016-11-10T17:32:39.510307	11	NA	65	28	78	0	0	0	1	0	0	0	0	0	72	I am alone	1	1
3060	2016-11-10T20:01:33.385957	11	NA	76	22	67	0	0	0	0	0	0	0	0	1	74	Classmate/coworker	1	0
3060	2016-11-11T09:52:19.324390	12	NA	76	11	91	0	0	0	1	0	0	0	0	0	83	I am alone	1	1
3060	2016-11-11T11:50:26.758866	12	NA	82	21	85	0	0	0	1	0	0	0	0	0	82	Romantic partner/close friend	1	0
3060	2016-11-11T13:56:18.321520	12	NA	89	7	64	0	0	0	1	0	0	0	0	0	86	Romantic partner/close friend	1	0
3060	2016-11-11T15:00:31.062057	12	NA	95	23	91	0	1	0	0	0	0	0	0	0	82	Romantic partner/close friend	1	0
3060	2016-11-11T18:00:17.676397	12	NA	76	13	84	0	1	0	0	0	0	0	0	0	82	I am alone	1	1
3060	2016-11-11T20:21:20.549000	12	NA	86	13	85	0	1	0	0	0	0	0	0	0	83	Romantic partner/close friend	1	0
