id	os	day	day_of_week	beep	survey_type	run_timestamp	submission_timestamp	well	discontent	state	tense	calm	placid	awake	energyless	rested	what	how	whom	n_people	too_much	work_fast	multitasking	hard_work	change_task	decide_task	schedule_task
S009	Android	2	Monday	3	work	2019-01-21T12:03:37Z	2019-01-21T12:07:07Z	4	5	4	4	4	4	2	4	4	NETWORKING	PHONE	ALONE	0	4	4	4	4	4	4	4
S009	Android	2	Monday	7	work	2019-01-21T17:58:40Z	2019-01-21T18:13:24Z	2	4	3	5	4	2	1	7	1	ADMINISTRATIVE	FACE2FACE,PAPER	COLL	6	6	6	3	4	4	4	4
S010	iOS	1	Monday	1	baseline	2019-05-06T09:15:23Z	2019-05-06T09:17:07Z	4	5	2	4	3	3	6	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S010	iOS	1	Monday	2	work	2019-05-06T10:44:01Z	2019-05-06T10:46:46Z	4	6	3	5	5	4	6	1	5	ANALYSIS	PC	COLL	1	5	4	4	5	4	7	6
S010	iOS	1	Monday	3	work	2019-05-06T12:01:39Z	2019-05-06T12:03:32Z	6	5	4	5	3	4	6	2	6	ANALYSIS	PC	COLL	1	4	4	6	4	5	7	6
S010	iOS	1	Monday	4	work	2019-05-06T13:37:18Z	2019-05-06T13:39:59Z	7	4	6	6	4	6	4	5	5	BREAK,DISSEMINATION	FACE2FACE,OTHER	ALONE	0	4	4	2	3	NA	NA	NA
S010	iOS	2	Friday	1	baseline	2019-05-10T09:15:02Z	2019-05-10T09:16:51Z	5	4	3	2	5	3	4	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S010	iOS	2	Friday	3	work	2019-05-10T12:05:26Z	2019-05-10T12:07:45Z	6	4	5	3	5	5	5	4	5	AUTHORING	PC	ALONE	0	4	4	5	5	5	7	6
S010	iOS	2	Friday	4	work	2019-05-10T13:41:27Z	2019-05-10T13:42:24Z	5	5	5	5	5	5	5	3	4	ANALYSIS	PC	ALONE	0	3	3	3	2	7	7	7
S010	iOS	2	Friday	5	work	2019-05-10T15:01:04Z	2019-05-10T15:02:17Z	7	3	6	3	5	5	3	3	4	BREAK,DISSEMINATION	FACE2FACE	UNDER	2	4	4	5	5	7	7	6
