id	date	time_prompt	survey_taken	time_survey	day	beep	counter	number_days_total	prompt_id	fraction_of_days_with_notification	prompt_duration	phone_use	social_media_use	social_media_use_no_notification	reactibility_survey	reactibility_notification_avg	reactibility_notification_sd	reactibility_social_notification_avg	reactibility_social_notification_sd	awake	discontent	calm	without_energy	well	tense	happy	stressed	vigilance_salience_mediated	salience_ft_f	valence_mediated	valence_ft_f	valence_activity	concentrated_activity_binary	concentration_extent	concentrated_activity_alone	vigilance_reactibility	vigilance_monitoring	social_pressure_phone	scheduled_time
61	2018-05-10	2018-05-10T07:01:00Z	0	2018-05-09T22:00:00Z	4	7	15	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-10T07:01:00Z
61	2018-05-09	2018-05-09T18:05:00Z	1	2018-05-08T22:00:00Z	3	1	16	5	1510250000000	0.6	41	519	128	128	87	7.4	0.489898	506.428571	356.358911	6	1	6	6	6	1	6	2	5	6	6	7	7	0	-	2	6	6	6	2018-05-09T18:05:00Z
61	2018-05-09	2018-05-09T17:14:00Z	1	2018-05-08T22:00:00Z	3	2	17	5	1510250000000	0.6	39	467	413	9	174	340.333333	232.994039	204.916667	233.950657	7	1	7	2	6	2	7	2	5	5	6	6	7	0	-	2	7	6	6	2018-05-09T17:14:00Z
61	2018-05-09	2018-05-09T15:56:00Z	1	2018-05-08T22:00:00Z	3	3	18	5	1510250000000	0.6	32	742	335	219	5	62.8	59.857832	275.8	82.368441	6	2	6	2	7	1	7	1	5	5	7	7	7	0	-	1	7	7	4	2018-05-09T15:56:00Z
61	2018-05-09	2018-05-09T14:01:00Z	0	2018-05-08T22:00:00Z	3	4	19	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-09T14:01:00Z
61	2018-05-09	2018-05-09T12:18:00Z	1	2018-05-08T22:00:00Z	3	5	20	5	1510250000000	0.6	36	375	13	0	9	NA	NA	NA	NA	7	1	7	2	6	3	7	4	5	6	6	6	5	0	6	-	4	3	1	2018-05-09T12:18:00Z
61	2018-05-09	2018-05-09T10:42:00Z	0	2018-05-08T22:00:00Z	3	6	21	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-09T10:42:00Z
61	2018-05-09	2018-05-09T09:05:00Z	1	2018-05-08T22:00:00Z	3	7	22	5	1510250000000	0.6	39	397	252	218	91	NA	NA	2.5	0.5	7	1	7	1	7	2	7	2	4	6	6	6	7	0	5	-	6	5	5	2018-05-09T09:05:00Z
61	2018-05-09	2018-05-09T08:14:00Z	1	2018-05-08T22:00:00Z	3	8	23	5	1510250000000	0.6	45	57	23	23	146	NA	NA	NA	NA	6	2	6	2	6	2	6	2	5	6	6	5	6	0	5	-	4	3	1	2018-05-09T08:14:00Z
61	2018-05-08	2018-05-08T17:35:00Z	1	2018-05-07T22:00:00Z	2	1	24	5	1510250000000	0.6	43	546	318	181	46	NA	NA	NA	NA	1	2	5	4	6	3	5	3	1	1	4	4	6	0	-	1	4	4	2	2018-05-08T17:35:00Z
61	2018-05-08	2018-05-08T16:12:00Z	1	2018-05-07T22:00:00Z	2	2	25	5	1510250000000	0.6	49	941	793	793	8	NA	NA	NA	NA	2	3	5	4	4	5	5	4	2	4	5	4	3	0	-	1	5	5	4	2018-05-08T16:12:00Z
61	2018-05-08	2018-05-08T15:20:00Z	1	2018-05-07T22:00:00Z	2	3	26	5	1510250000000	0.6	56	1836	0	0	5	1445.117647	330.808258	1445.117647	330.808258	2	4	5	6	5	3	5	3	4	4	3	3	5	0	-	1	6	5	5	2018-05-08T15:20:00Z
61	2018-05-08	2018-05-08T13:21:00Z	0	2018-05-07T22:00:00Z	2	4	27	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-08T13:21:00Z
61	2018-05-08	2018-05-08T12:32:00Z	0	2018-05-07T22:00:00Z	2	5	28	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-08T12:32:00Z
61	2018-05-08	2018-05-08T10:05:00Z	0	2018-05-07T22:00:00Z	2	6	29	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-08T10:05:00Z
61	2018-05-08	2018-05-08T08:56:00Z	0	2018-05-07T22:00:00Z	2	7	30	5	1510250000000	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-05-08T08:56:00Z
61	2018-05-08	2018-05-08T07:35:00Z	1	2018-05-07T22:00:00Z	2	8	31	5	1510250000000	0.6	42	54	0	0	47	NA	NA	NA	NA	7	2	6	2	7	2	7	2	3	7	6	6	6	0	5	-	1	1	1	2018-05-08T07:35:00Z
61	2018-05-07	2018-05-07T18:09:00Z	1	2018-05-06T22:00:00Z	1	1	32	5	1510250000000	0.6	58	448	192	140	108	69	3	73	3	5	2	6	3	6	3	5	3	6	5	5	5	6	0	-	1	5	6	4	2018-05-07T18:09:00Z
61	2018-05-07	2018-05-07T16:59:00Z	1	2018-05-06T22:00:00Z	1	2	33	5	1510250000000	0.6	48	377	56	36	8	66.5	45.5	392.5	323.459812	6	2	6	2	6	1	6	3	6	5	6	5	5	0	-	1	6	6	5	2018-05-07T16:59:00Z
56	2018-04-27	2018-04-27T17:43:00Z	0	2018-04-26T22:00:00Z	5	1	1	5	1510250000000	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-04-27T17:43:00Z
56	2018-04-27	2018-04-27T16:20:00Z	1	2018-04-26T22:00:00Z	5	2	2	5	1510250000000	0.2	36	719	250	250	16	NA	NA	NA	NA	4	2	5	4	5	3	5	4	5	7	3	7	4	0	-	2	5	5	5	2018-04-27T16:20:00Z
56	2018-04-27	2018-04-27T15:23:00Z	1	2018-04-26T22:00:00Z	5	3	3	5	1510250000000	0.2	45	1296	1055	1055	52	NA	NA	NA	NA	2	5	5	5	3	5	3	3	7	5	2	4	2	0	-	1	7	7	7	2018-04-27T15:23:00Z
56	2018-04-27	2018-04-27T13:33:00Z	1	2018-04-26T22:00:00Z	5	4	4	5	1510250000000	0.2	81	907	133	133	19	NA	NA	NA	NA	5	4	5	3	4	4	4	3	7	4	5	4	4	0	-	2	5	4	4	2018-04-27T13:33:00Z
56	2018-04-27	2018-04-27T12:08:00Z	1	2018-04-26T22:00:00Z	5	5	5	5	1510250000000	0.2	84	1460	18	18	110	NA	NA	NA	NA	3	4	5	5	4	3	4	2	5	2	5	4	4	0	-	1	5	4	5	2018-04-27T12:08:00Z
56	2018-04-27	2018-04-27T11:06:00Z	1	2018-04-26T22:00:00Z	5	6	6	5	1510250000000	0.2	78	172	9	9	141	NA	NA	NA	NA	2	3	5	6	5	4	5	4	3	1	4	4	5	0	-	1	5	1	5	2018-04-27T11:06:00Z
56	2018-04-27	2018-04-27T08:46:00Z	0	2018-04-26T22:00:00Z	5	7	7	5	1510250000000	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-04-27T08:46:00Z
56	2018-04-27	2018-04-27T07:35:00Z	0	2018-04-26T22:00:00Z	5	8	8	5	1510250000000	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-04-27T07:35:00Z
56	2018-04-26	2018-04-26T18:14:00Z	0	2018-04-25T22:00:00Z	4	1	9	5	1510250000000	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-04-26T18:14:00Z
56	2018-04-26	2018-04-26T17:12:00Z	0	2018-04-25T22:00:00Z	4	2	10	5	1510250000000	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-04-26T17:12:00Z
56	2018-04-26	2018-04-26T15:30:00Z	1	2018-04-25T22:00:00Z	4	3	11	5	1510250000000	0.2	108	1378	142	111	89	298.555556	222.753532	744.631579	353.012481	5	3	2	3	5	4	5	4	7	5	6	6	5	0	-	1	7	6	7	2018-04-26T15:30:00Z
56	2018-04-26	2018-04-26T13:30:00Z	0	2018-04-25T22:00:00Z	4	4	12	5	1510250000000	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018-04-26T13:30:00Z
56	2018-04-26	2018-04-26T12:12:00Z	1	2018-04-25T22:00:00Z	4	5	13	5	1510250000000	0.2	36	901	636	386	13	15.5	14.5	153.4	235.298619	3	4	5	5	4	4	4	4	6	4	5	4	5	0	-	1	4	5	6	2018-04-26T12:12:00Z
56	2018-04-26	2018-04-26T11:24:00Z	1	2018-04-25T22:00:00Z	4	6	14	5	1510250000000	0.2	52	262	223	223	8	NA	NA	NA	NA	3	5	3	5	3	5	3	5	5	2	5	4	3	0	-	1	7	5	4	2018-04-26T11:24:00Z
56	2018-04-26	2018-04-26T09:19:00Z	1	2018-04-25T22:00:00Z	4	7	15	5	1510250000000	0.2	53	388	104	104	216	529	0	1185.666667	341.659024	2	6	6	6	2	5	3	5	5	3	5	2	3	0	5	-	4	3	5	2018-04-26T09:19:00Z
56	2018-04-26	2018-04-26T07:58:00Z	1	2018-04-25T22:00:00Z	4	8	16	5	1510250000000	0.2	293	442	306	191	6	4.333333	0.471405	86.166667	109.481226	5	3	5	5	5	4	5	3	5	2	5	4	4	0	5	-	7	3	6	2018-04-26T07:58:00Z
56	2018-04-25	2018-04-25T18:27:00Z	1	2018-04-24T22:00:00Z	3	1	17	5	1510250000000	0.2	83	413	269	155	3	52	0	28.5	26.5	4	2	4	4	6	4	6	3	5	5	5	5	7	0	-	1	6	5	6	2018-04-25T18:27:00Z
56	2018-04-25	2018-04-25T17:01:00Z	1	2018-04-24T22:00:00Z	3	2	18	5	1510250000000	0.2	37	417	322	322	18	NA	NA	NA	NA	5	3	3	3	5	5	5	5	5	4	5	4	4	0	5	-	5	5	4	2018-04-25T17:01:00Z
56	2018-04-25	2018-04-25T14:45:00Z	1	2018-04-24T22:00:00Z	3	3	19	5	1510250000000	0.2	61	916	126	44	94	231.333333	233.932089	817.861111	377.127679	4	3	4	4	5	3	5	4	5	3	5	4	4	0	5	-	6	5	5	2018-04-25T14:45:00Z
