id	timestamp	extraversion	agreeableness	conscientiousness	emotional_stability	openness	date	day	beep
516	1328004209	4	5.5	5.5	6.5	3.5	2012-01-31T10:03:29Z	2	NA
516	1328017512	6	5	5.5	6	3.5	2012-01-31T13:45:12Z	2	NA
516	1328026273	2.5	4.5	5.5	6	4	2012-01-31T16:11:13Z	2	NA
516	1328093347	5	5	6	6.5	4.5	2012-02-01T10:49:07Z	3	NA
516	1328112928	2.5	5	4.5	6	4	2012-02-01T16:15:28Z	3	NA
516	1328177097	2.5	5.5	4.5	6.5	3.5	2012-02-02T10:04:57Z	4	NA
516	1328190894	4.5	3	4.5	5.5	4	2012-02-02T13:54:54Z	4	NA
516	1328200046	3.5	5.5	5.5	6	4	2012-02-02T16:27:26Z	4	NA
516	1328264116	3	5.5	5	5	3.5	2012-02-03T10:15:16Z	5	NA
516	1328284886	2.5	5.5	4	6	4	2012-02-03T16:01:26Z	5	NA
516	1328523580	3	5.5	5.5	6.5	4.5	2012-02-06T10:19:40Z	8	NA
516	1328534193	2.5	5.5	4	6	3.5	2012-02-06T13:16:33Z	8	NA
516	1328544179	2.5	5.5	5	6.5	4	2012-02-06T16:02:59Z	8	NA
516	1328610288	2.5	5.5	5.5	6.5	4	2012-02-07T10:24:48Z	9	NA
516	1328623414	5	5.5	5	6	4.5	2012-02-07T14:03:34Z	9	NA
516	1328632137	3	5.5	6.5	6.5	3	2012-02-07T16:28:57Z	9	NA
516	1328696860	2.5	5.5	6	6.5	3	2012-02-08T10:27:40Z	10	NA
516	1328707452	2	5.5	6	6.5	3	2012-02-08T13:24:12Z	10	NA
516	1328717344	3.5	5.5	6	6.5	4	2012-02-08T16:09:04Z	10	NA
516	1328782225	2.5	5.5	6	6.5	3.5	2012-02-09T10:10:25Z	11	NA
516	1328795963	5	4.5	5.5	6	4	2012-02-09T13:59:23Z	11	NA
516	1328804080	2.5	5.5	6	6.5	3	2012-02-09T16:14:40Z	11	NA
516	1328870323	6	4.5	6	5.5	4.5	2012-02-10T10:38:43Z	12	NA
516	1328880624	5.5	4.5	5.5	6	5	2012-02-10T13:30:24Z	12	NA
516	1328890454	2.5	5.5	6	6.5	3	2012-02-10T16:14:14Z	12	NA
516	1329130156	5.5	5.5	5.5	6	4	2012-02-13T10:49:16Z	15	NA
516	1329149866	5.5	5.5	6	6	4.5	2012-02-13T16:17:46Z	15	NA
516	1329216401	5.5	6	4.5	6	5	2012-02-14T10:46:41Z	16	NA
516	1329227111	6	6	5.5	6	5	2012-02-14T13:45:11Z	16	NA
516	1329236972	5	6	5.5	6	4	2012-02-14T16:29:32Z	16	NA
516	1329302210	2.5	6	5.5	6.5	4.5	2012-02-15T10:36:50Z	17	NA
516	1329322288	2.5	5.5	5.5	6	4	2012-02-15T16:11:28Z	17	NA
516	1329390149	5	6	5.5	6	5	2012-02-16T11:02:29Z	18	NA
516	1329397458	4.5	6	5.5	5	4	2012-02-16T13:04:18Z	18	NA
516	1329408087	2.5	4.5	3	6	3.5	2012-02-16T16:01:27Z	18	NA
516	1329477959	6.5	3.5	5.5	6.5	5	2012-02-17T11:25:59Z	19	NA
516	1329483756	2.5	5.5	5	6.5	4	2012-02-17T13:02:36Z	19	NA
516	1329495582	2	5.5	6	6.5	5.5	2012-02-17T16:19:42Z	19	NA
516	1329735691	5	4	6	6.5	4	2012-02-20T11:01:31Z	22	NA
516	1329743165	3	5.5	5.5	6.5	3.5	2012-02-20T13:06:05Z	22	NA
516	1329760037	2.5	5.5	6	6.5	3.5	2012-02-20T17:47:17Z	22	NA
516	1329820936	2	5	6	6.5	3.5	2012-02-21T10:42:16Z	23	NA
516	1329830477	2	5.5	3.5	6	3.5	2012-02-21T13:21:17Z	23	NA
516	1329842724	4.5	5	5	6.5	3.5	2012-02-21T16:45:24Z	23	NA
516	1329905384	2.5	5.5	6	6	5	2012-02-22T10:09:44Z	24	NA
516	1329917832	3	5.5	4.5	4.5	4	2012-02-22T13:37:12Z	24	NA
516	1329995398	5	5	5.5	6	5	2012-02-23T11:09:58Z	25	NA
516	1330007816	5.5	5.5	6	6	5	2012-02-23T14:36:56Z	25	NA
516	1330013346	5	5	6	6	4.5	2012-02-23T16:09:06Z	25	NA
516	1330078649	3	5.5	6	6.5	3.5	2012-02-24T10:17:29Z	26	NA
516	1330089892	3	5.5	6.5	6.5	4	2012-02-24T13:24:52Z	26	NA
516	1330100212	3	5.5	6	6.5	4	2012-02-24T16:16:52Z	26	NA
516	1330337169	3	5.5	6	6.5	3	2012-02-27T10:06:09Z	29	NA
516	1330348425	3	4	5	6	3.5	2012-02-27T13:13:45Z	29	NA
516	1330363605	4.5	5.5	5.5	6	4.5	2012-02-27T17:26:45Z	29	NA
516	1330423365	5.5	6	5.5	6	5	2012-02-28T10:02:45Z	30	NA
516	1330436890	5.5	5.5	4	6	4.5	2012-02-28T13:48:10Z	30	NA
516	1330446985	2.5	5.5	5.5	6.5	4	2012-02-28T16:36:25Z	30	NA
516	1330511561	2.5	5.5	5.5	6.5	3.5	2012-02-29T10:32:41Z	31	NA
516	1330524707	4.5	3.5	5.5	5	4.5	2012-02-29T14:11:47Z	31	NA
516	1330533002	3	5.5	5.5	6	3.5	2012-02-29T16:30:02Z	31	NA
516	1330596242	6	6	5	6	5	2012-03-01T10:04:02Z	32	NA
516	1330613625	3	5.5	5	6	4	2012-03-01T14:53:45Z	32	NA
516	1330621781	5	5.5	5.5	6	4	2012-03-01T17:09:41Z	32	NA
516	1330700691	3	5.5	6	6.5	3.5	2012-03-02T15:04:51Z	33	NA
516	1330705443	5.5	6.5	5.5	6	6	2012-03-02T16:24:03Z	33	NA
516	1330712604	3	5.5	5.5	6	3.5	2012-03-02T18:23:24Z	33	NA
516	1330942405	5.5	6	5.5	6	4.5	2012-03-05T10:13:25Z	36	NA
516	1330954109	3	5.5	5	6	4.5	2012-03-05T13:28:29Z	36	NA
516	1330963581	5.5	6	5.5	6	5	2012-03-05T16:06:21Z	36	NA
516	1331035599	2.5	4.5	4.5	6	4.5	2012-03-06T12:06:39Z	37	NA
516	1331041826	5.5	5.5	5	6	4.5	2012-03-06T13:50:26Z	37	NA
516	1331050147	3	5.5	5	6	4	2012-03-06T16:09:07Z	37	NA
516	1331116652	2.5	5.5	6	6	4	2012-03-07T10:37:32Z	38	NA
516	1331125684	4	4.5	4	6	4	2012-03-07T13:08:04Z	38	NA
516	1331136509	3	5.5	5	6	4.5	2012-03-07T16:08:29Z	38	NA
516	1331201359	3.5	5.5	5	6	3.5	2012-03-08T10:09:19Z	39	NA
516	1331219517	5	5.5	5.5	6	4	2012-03-08T15:11:57Z	39	NA
516	1331222657	4	5.5	5	4	4	2012-03-08T16:04:17Z	39	NA
516	1331290006	5.5	6	4.5	6	5	2012-03-09T10:46:46Z	40	NA
516	1331302554	4	3	4.5	5	3	2012-03-09T14:15:54Z	40	NA
516	1331312764	5.5	6	5.5	6	5	2012-03-09T17:06:04Z	40	NA
517	1327918235	2	4	5	6	2.5	2012-01-30T10:10:35Z	1	NA
517	1327929506	4.5	5	5	5.5	4	2012-01-30T13:18:26Z	1	NA
517	1327939787	4	5	5.5	5	5	2012-01-30T16:09:47Z	1	NA
